========================================
 Exported from Brekel Pro Face 2 v2.23
========================================
File format version:		1.0
Machinename:				ssc-6430b
Licensed to:				 Erin Heerey
Export date/time:			12/04/2017 12:04:52
Number of frames:			9180

==========
 Face: 1
==========
timestamp	isTracked	bodyId	neckPosX	neckPosY	neckPosZ	neckRotX	neckRotY	neckRotZ	headPosX	headPosY	headPosZ	headRotX	headRotY	headRotZ	Brow_Up_L	Brow_Up_R	Brow_Down_L	Brow_Down_R	Eye_Closed_L	Eye_Closed_R	Cheek_Puffed_L	Cheek_Puffed_R	Lips_Pucker	Lips_Stretch_L	Lips_Stretch_R	Lip_Lower_Down_L	Lip_Lower_Down_R	Smile_L	Smile_R	Frown_L	Frown_R	Jaw_L	Jaw_R	Jaw_Open
0.00000	1	2	-18.88150	-7.48187	-88.17496	-14.04241	6.71498	13.64998	2.27349	9.49593	3.68531	8.56811	7.28102	-8.34035	22.21439	28.15517	-0.00025	0.00000	30.90384	18.24072	8.03561	3.13607	10.59364	20.53126	3.73745	1.74207	1.29858	45.49071	28.60647	11.20910	4.27110	8.82382	0.12776	20.89665	
0.03333	1	2	-18.88229	-7.48187	-88.17496	-14.03360	6.71472	13.64891	2.27349	9.49593	3.68531	8.65384	7.21066	-8.33428	23.48132	28.66928	-0.00025	0.00000	30.09259	18.23130	7.52957	3.02110	14.51548	21.88045	3.97676	1.57974	1.15351	41.24470	23.62361	9.91072	3.73858	9.10442	0.10536	20.22967	
0.06667	1	2	-18.88440	-7.48111	-88.17496	-14.02503	6.71447	13.64787	2.27349	9.49593	3.68531	8.72954	7.11509	-8.28915	24.19473	28.51179	-0.00025	0.00000	30.03826	17.84648	7.13590	2.86928	14.49052	23.05994	4.26478	1.97523	1.53420	39.38379	22.61847	9.37401	3.66800	9.12128	0.08727	20.50621	
0.10000	1	2	-18.88641	-7.47922	-88.17496	-14.01665	6.71422	13.64799	2.27325	9.49593	3.68531	8.81075	6.93493	-8.26168	24.69054	28.72629	-0.00025	0.00000	30.20185	16.80299	6.97040	2.77009	15.62416	24.23646	4.38263	2.21942	1.58057	37.86213	20.83148	9.27741	3.75333	9.53279	0.07222	21.40646	
0.13333	1	2	-18.88839	-7.47752	-88.17496	-14.00799	6.71397	13.65120	2.27240	9.49593	3.68484	8.90723	6.69714	-8.21558	22.89030	27.61048	-0.00025	0.00000	29.45402	16.27088	6.46830	2.61258	15.94987	22.76257	4.17672	2.23837	1.67953	37.09320	19.82750	9.80120	3.90742	9.56452	0.05974	22.47825	
0.16667	1	2	-18.89038	-7.47586	-88.17496	-13.99825	6.71368	13.65694	2.27180	9.49593	3.68282	9.00883	6.46081	-8.12399	21.31750	26.10244	-0.00025	0.00000	30.76459	16.21588	5.89872	2.34151	13.06496	20.04516	3.70650	1.85068	1.48124	35.72472	20.54438	9.38365	3.70366	9.44051	0.04946	22.75540	
0.20000	1	2	-18.89240	-7.47421	-88.17496	-13.98779	6.71337	13.66438	2.27223	9.49593	3.67661	9.11466	6.27633	-8.03549	21.40789	26.86904	-0.00025	0.00000	33.07966	15.57473	5.60524	2.29514	12.70887	19.16612	3.54212	1.52541	1.17487	30.80072	19.51612	8.69730	3.54359	9.36064	0.04096	20.99954	
0.23333	1	2	-18.89438	-7.47257	-88.17496	-13.97684	6.71305	13.67294	2.27976	9.49593	3.66365	9.18995	6.12901	-7.94835	20.69863	27.35900	-0.00025	0.00000	30.76437	12.86488	5.08104	2.17652	12.43645	19.84913	3.71774	0.91688	0.96720	23.09988	15.05633	7.57791	3.36547	9.07467	0.03392	18.06064	
0.26667	1	2	-18.89626	-7.47097	-88.17496	-13.96569	6.71273	13.68201	2.28938	9.49593	3.65059	9.28611	5.93726	-7.90229	20.79547	27.33704	-0.00025	0.00000	27.59449	11.68521	4.59769	2.06092	13.49220	22.36175	4.28635	1.26846	1.04314	17.39705	9.50809	6.28169	3.48057	9.60079	0.02812	16.14794	
0.30000	1	2	-18.89812	-7.46939	-88.17496	-13.95446	6.71240	13.69126	2.28820	9.49648	3.64100	9.40302	5.78933	-7.79304	22.80538	29.98885	-0.00025	0.00000	26.30059	10.29320	5.08517	2.03043	13.29386	22.16335	4.72559	1.76649	1.51058	13.36426	7.51672	6.01471	3.71015	9.91332	0.02330	15.62432	
0.33333	1	2	-18.89996	-7.46769	-88.17496	-13.94332	6.71207	13.70034	2.28704	9.50063	3.62939	9.48483	5.64144	-7.66485	23.66229	33.73721	-0.00025	0.00000	28.11576	10.50161	6.01188	2.16504	12.06774	21.40125	4.23902	1.99265	1.56532	11.76157	7.39519	5.52887	3.31470	10.23180	0.01927	16.58761	
0.36667	1	2	-18.90175	-7.46598	-88.17496	-13.93241	6.71224	13.70911	2.28572	9.51021	3.61508	9.55347	5.51547	-7.59457	23.21042	34.07235	-0.00025	0.00000	30.39165	11.74181	6.13769	2.11959	11.93858	18.19164	3.47957	1.65527	1.41614	12.00681	8.75567	4.32203	3.00543	10.88614	0.01600	18.45175	
0.40000	1	2	-18.90315	-7.46425	-88.17496	-13.92193	6.71313	13.71742	2.28442	9.51902	3.59897	9.60161	5.39702	-7.53962	22.11818	32.40214	-0.00025	0.00000	31.93924	13.88514	6.39873	2.17578	10.42593	10.16248	2.16015	1.85023	1.63021	12.12471	10.75534	3.91296	2.78315	10.61914	0.01323	20.28660	
0.43333	1	2	-18.90435	-7.46252	-88.17496	-13.91173	6.71390	13.72513	2.28329	9.52064	3.59082	9.60504	5.27445	-7.49369	21.63008	31.17184	-0.00025	0.00000	32.44243	15.35980	6.64879	2.19048	6.61285	6.71374	1.46998	2.04093	1.83246	14.62195	15.54751	3.64712	2.64523	10.52333	0.01096	21.88507	
0.46667	1	2	-18.90553	-7.46071	-88.17496	-13.90196	6.71467	13.73218	2.28358	9.51242	3.58460	9.56640	5.14465	-7.43197	22.07562	31.24327	-0.00025	0.00000	33.27027	15.15501	6.53321	2.24685	4.51170	8.41848	1.60579	2.67029	2.21345	21.88440	23.67527	3.62410	2.55399	10.57798	0.00873	22.00306	
