========================================
 Exported from Brekel Pro Face 2 v2.23
========================================
File format version:		1.0
Machinename:				ssc-6430c
Licensed to:				 Erin Heerey
Export date/time:			12/04/2017 12:04:52
Number of frames:			9510

==========
 Face: 1
==========
timestamp	isTracked	bodyId	neckPosX	neckPosY	neckPosZ	neckRotX	neckRotY	neckRotZ	headPosX	headPosY	headPosZ	headRotX	headRotY	headRotZ	Brow_Up_L	Brow_Up_R	Brow_Down_L	Brow_Down_R	Eye_Closed_L	Eye_Closed_R	Cheek_Puffed_L	Cheek_Puffed_R	Lips_Pucker	Lips_Stretch_L	Lips_Stretch_R	Lip_Lower_Down_L	Lip_Lower_Down_R	Smile_L	Smile_R	Frown_L	Frown_R	Jaw_L	Jaw_R	Jaw_Open
0.00000	1	4	1.99734	37.39243	-78.63773	21.89895	-0.62840	4.21824	0.84599	12.86680	1.53542	-23.74273	10.19323	-5.22354	0.00000	0.00000	50.69600	22.46618	26.63120	30.24902	50.60434	51.50293	0.00000	25.25032	31.08939	2.83104	2.38558	97.30775	99.25774	18.86580	5.06738	1.31213	1.52331	42.32135	
0.03333	1	4	1.99734	37.39243	-78.63773	21.89895	-0.62840	4.21824	0.84599	12.86680	1.53542	-23.74273	10.19323	-5.22354	0.00000	0.00000	50.69600	22.46618	26.63120	30.24902	50.60434	51.50293	0.00000	25.25032	31.08939	2.83104	2.38558	97.30775	99.25774	18.86580	5.06738	1.31213	1.52331	42.32135	
0.06667	1	4	1.99734	37.39243	-78.63773	21.89895	-0.62840	4.21824	0.84599	12.86680	1.53542	-23.74273	10.19323	-5.22354	0.00000	0.00000	50.69600	22.46618	26.63120	30.24902	50.60434	51.50293	0.00000	25.25032	31.08939	2.83104	2.38558	97.30775	99.25774	18.86580	5.06738	1.31213	1.52331	42.32135	
0.10000	1	4	1.99734	37.39243	-78.63773	21.89895	-0.62840	4.21824	0.84599	12.86680	1.53542	-23.74273	10.19323	-5.22354	0.00000	0.00000	50.69600	22.46618	26.63120	30.24902	50.60434	51.50293	0.00000	25.25032	31.08939	2.83104	2.38558	97.30775	99.25774	18.86580	5.06738	1.31213	1.52331	42.32135	
0.13333	1	4	1.99734	37.39243	-78.63773	21.89895	-0.62840	4.21824	0.84599	12.86680	1.53542	-23.74273	10.19323	-5.22354	0.00000	0.00000	50.69600	22.46618	26.63120	30.24902	50.60434	51.50293	0.00000	25.25032	31.08939	2.83104	2.38558	97.30775	99.25774	18.86580	5.06738	1.31213	1.52331	42.32135	
0.16667	1	4	1.99734	37.39243	-78.63773	21.89895	-0.62840	4.21824	0.84599	12.86680	1.53542	-23.74273	10.19323	-5.22354	0.00000	0.00000	50.69600	22.46618	26.63120	30.24902	50.60434	51.50293	0.00000	25.25032	31.08939	2.83104	2.38558	97.30775	99.25774	18.86580	5.06738	1.31213	1.52331	42.32135	
0.20000	1	4	1.99734	37.39243	-78.63773	21.89895	-0.62840	4.21824	0.84599	12.86680	1.53542	-23.74273	10.19323	-5.22354	0.00000	0.00000	50.69600	22.46618	26.63120	30.24902	50.60434	51.50293	0.00000	25.25032	31.08939	2.83104	2.38558	97.30775	99.25774	18.86580	5.06738	1.31213	1.52331	42.32135	
0.23333	1	4	1.99734	37.39243	-78.63773	21.89895	-0.62840	4.21824	0.84599	12.86680	1.53542	-23.74273	10.19323	-5.22354	0.00000	0.00000	50.69600	22.46618	26.63120	30.24902	50.60434	51.50293	0.00000	25.25032	31.08939	2.83104	2.38558	97.30775	99.25774	18.86580	5.06738	1.31213	1.52331	42.32135	
0.26667	1	4	1.99734	37.39243	-78.63773	21.89895	-0.62840	4.21824	0.84599	12.86680	1.53542	-23.74273	10.19323	-5.22354	0.00000	0.00000	50.69600	22.46618	26.63120	30.24902	50.60434	51.50293	0.00000	25.25032	31.08939	2.83104	2.38558	97.30775	99.25774	18.86580	5.06738	1.31213	1.52331	42.32135	
0.30000	1	4	1.99734	37.39243	-78.63773	21.89895	-0.62840	4.21824	0.84599	12.86680	1.53542	-23.74273	10.19323	-5.22354	0.00000	0.00000	50.69600	22.46618	26.63120	30.24902	50.60434	51.50293	0.00000	25.25032	31.08939	2.83104	2.38558	97.30775	99.25774	18.86580	5.06738	1.31213	1.52331	42.32135	
0.33333	1	4	1.99734	37.39243	-78.63773	21.89895	-0.62840	4.21824	0.84599	12.86680	1.53542	-23.74273	10.19323	-5.22354	0.00000	0.00000	50.69600	22.46618	26.63120	30.24902	50.60434	51.50293	0.00000	25.25032	31.08939	2.83104	2.38558	97.30775	99.25774	18.86580	5.06738	1.31213	1.52331	42.32135	
0.36667	1	4	1.99734	37.39243	-78.63773	21.89895	-0.62840	4.21824	0.84599	12.86680	1.53542	-23.74273	10.19323	-5.22354	0.00000	0.00000	50.69600	22.46618	26.63120	30.24902	50.60434	51.50293	0.00000	25.25032	31.08939	2.83104	2.38558	97.30775	99.25774	18.86580	5.06738	1.31213	1.52331	42.32135	
0.40000	1	4	1.99734	37.39243	-78.63773	21.89895	-0.62840	4.21824	0.84599	12.86680	1.53542	-23.74273	10.19323	-5.22354	0.00000	0.00000	50.69600	22.46618	26.63120	30.24902	50.60434	51.50293	0.00000	25.25032	31.08939	2.83104	2.38558	97.30775	99.25774	18.86580	5.06738	1.31213	1.52331	42.32135	
0.43333	1	4	1.99734	37.39243	-78.63773	21.89895	-0.62840	4.21824	0.84599	12.86680	1.53542	-23.74273	10.19323	-5.22354	0.00000	0.00000	50.69600	22.46618	26.63120	30.24902	50.60434	51.50293	0.00000	25.25032	31.08939	2.83104	2.38558	97.30775	99.25774	18.86580	5.06738	1.31213	1.52331	42.32135	
0.46667	1	4	1.99734	37.39243	-78.63773	21.89895	-0.62840	4.21824	0.84599	12.86680	1.53542	-23.74273	10.19323	-5.22354	0.00000	0.00000	50.69600	22.46618	26.63120	30.24902	50.60434	51.50293	0.00000	25.25032	31.08939	2.83104	2.38558	97.30775	99.25774	18.86580	5.06738	1.31213	1.52331	42.32135	
0.50000	1	4	1.99734	37.39243	-78.63773	21.89895	-0.62840	4.21824	0.84599	12.86680	1.53542	-23.74273	10.19323	-5.22354	0.00000	0.00000	50.69600	22.46618	26.63120	30.24902	50.60434	51.50293	0.00000	25.25032	31.08939	2.83104	2.38558	97.30775	99.25774	18.86580	5.06738	1.31213	1.52331	42.32135	
0.53333	1	4	1.99734	37.39243	-78.63773	21.89895	-0.62840	4.21824	0.84599	12.86680	1.53542	-23.74273	10.19323	-5.22354	0.00000	0.00000	50.69600	22.46618	26.63120	30.24902	50.60434	51.50293	0.00000	25.25032	31.08939	2.83104	2.38558	97.30775	99.25774	18.86580	5.06738	1.31213	1.52331	42.32135	
