pid	cam	min	sec	frame	absoluteframe	smile	talk	laugh
2024	1	0	 0	 0	   1	0	0	0
2024	1	0	 1	19	  50	1	0	0
2024	1	0	 2	 6	  67	0	0	0
2024	1	0	 5	13	 164	0	1	0
2024	1	0	 5	18	 169	1	1	0
2024	1	0	 6	22	 203	1	0	0
2024	1	0	14	 8	 429	0	0	0
2024	1	0	28	28	 869	1	0	0
2024	1	0	30	 8	 909	1	0	1
2024	1	0	32	22	 983	1	0	0
2024	1	0	34	22	1043	0	0	0
2024	1	0	37	 0	1111	1	0	0
2024	1	0	37	12	1123	1	0	1
2024	1	0	40	27	1228	1	0	0
2024	1	0	40	28	1229	0	0	0
2024	1	0	43	 3	1294	0	1	0
2024	1	0	44	18	1339	1	1	0
2024	1	0	46	21	1402	1	0	0
2024	1	0	48	19	1460	1	1	0
2024	1	0	49	 4	1475	1	0	1
2024	1	0	50	 8	1509	1	0	0
2024	1	0	50	 9	1510	1	1	0
2024	1	0	50	13	1514	1	0	0
2024	1	0	53	 1	1592	0	0	0
2024	1	0	53	17	1608	0	1	0
2024	1	0	53	22	1613	0	0	0
2024	1	0	55	15	1666	0	1	0
2024	1	0	58	 9	1750	1	1	0
2024	1	1	 1	12	1843	0	1	0
2024	1	1	 2	28	1889	1	1	0
2024	1	1	 3	 4	1895	1	0	0
2024	1	1	 3	 6	1897	1	0	1
2024	1	1	 3	29	1920	1	0	0
2024	1	1	 4	 0	1921	1	1	0
2024	1	1	 6	 6	1987	1	0	0
2024	1	1	10	 0	2101	1	1	0
2024	1	1	22	21	2482	1	0	0
2024	1	1	23	21	2512	0	0	0
2024	1	1	28	 2	2643	0	1	0
2024	1	1	28	24	2665	0	0	0
2024	1	1	31	12	2743	0	1	0
2024	1	1	32	17	2778	1	1	0
2024	1	1	34	27	2848	1	0	0
2024	1	1	39	 7	2978	0	0	0
2024	1	1	41	 0	3031	0	1	0
2024	1	1	41	24	3055	0	0	0
2024	1	1	42	 4	3065	1	0	0
2024	1	1	43	12	3103	1	1	0
2024	1	1	43	24	3115	1	0	0
2024	1	1	44	 4	3125	1	0	1
2024	1	1	45	15	3166	1	0	0
2024	1	1	46	26	3207	0	0	0
2024	1	1	49	22	3293	1	0	0
2024	1	1	49	23	3294	1	1	0
2024	1	1	50	 9	3310	1	0	0
2024	1	1	50	15	3316	1	0	1
2024	1	1	50	27	3328	1	0	0
2024	1	1	52	26	3387	0	0	0
2024	1	1	53	17	3408	0	1	0
2024	1	1	53	29	3420	0	0	0
2024	1	2	18	 4	4145	0	1	0
2024	1	2	18	18	4159	0	0	0
2024	1	2	19	 3	4174	1	0	0
2024	1	2	20	27	4228	0	0	0
2024	1	2	23	 7	4298	0	1	0
2024	1	2	23	24	4315	0	0	0
2024	1	2	25	25	4376	1	0	0
2024	1	2	28	 6	4447	0	0	0
2024	1	2	31	13	4544	0	1	0
2024	1	2	31	24	4555	0	0	0
2024	1	2	31	25	4556	1	0	0
2024	1	2	37	12	4723	0	0	0
2024	1	2	48	21	5062	1	0	0
2024	1	2	49	 0	5071	1	1	0
2024	1	2	49	 9	5080	1	0	0
2024	1	2	49	10	5081	1	0	1
2024	1	2	50	20	5121	1	0	0
2024	1	2	50	21	5122	1	1	0
2024	1	2	52	23	5184	0	1	0
2024	1	2	56	 1	5282	0	0	0
2024	1	2	56	28	5309	1	0	0
