pid	cam	min	sec	ms	smiling	talking	laughing
1001	2	0	0	15	0	1	0
1001	2	0	0	645	1	1	0
1001	2	0	1	688	0	1	0
1001	2	1	8	307	1	0	1
1001	2	1	9	115	1	1	0
1001	2	1	10	579	0	1	0
1001	2	1	18	376	1	0	0
1001	2	1	19	558	0	1	0
1001	2	1	21	500	0	0	0
1001	2	1	21	952	0	1	0
1001	2	1	24	954	0	0	0
1001	2	1	25	269	0	1	0
1001	2	1	28	913	0	0	0
1001	2	1	29	805	0	1	0
1001	2	1	30	725	0	0	0
1001	2	1	31	680	0	1	0
1001	2	1	32	348	0	0	0
1001	2	1	43	614	0	1	0
1001	2	1	44	10	1	0	1
1001	2	1	45	899	0	0	0
1001	2	1	52	378	0	1	0
1001	2	1	53	624	0	0	0
1001	2	1	55	231	1	1	0
1001	2	1	59	326	0	1	0
1001	2	2	2	553	1	1	0
1001	2	2	3	579	0	1	0
1001	2	2	12	428	1	1	0
1001	2	2	13	384	1	0	0
1001	2	2	13	873	1	0	1
1001	2	2	15	226	0	0	0
1001	2	2	16	474	0	1	0
1001	2	2	16	789	0	0	0
1001	2	2	19	408	0	1	0
1001	2	2	19	953	0	0	0
1001	2	2	32	831	0	1	0
1001	2	2	33	104	0	0	0
1001	2	2	34	342	0	1	0
1001	2	2	47	112	1	1	0
1001	2	2	48	372	1	0	1
1001	2	2	48	948	1	1	1
1001	2	2	49	816	1	1	0
1001	2	2	50	481	0	1	0
1001	2	3	12	277	0	0	0
1001	2	3	19	468	0	1	0
1001	2	3	19	958	0	0	0
1001	2	3	21	871	0	1	0
1001	2	3	50	415	1	0	1
1001	2	3	51	263	1	1	0
1001	2	3	52	721	0	0	0
1001	2	3	55	66	0	1	0
1001	2	3	55	674	0	0	0
1001	2	4	5	420	0	1	0
1001	2	4	7	668	0	0	0
1001	2	4	9	138	1	1	0
1001	2	4	10	285	1	0	1
1001	2	4	12	977	1	0	0
1001	2	4	13	840	0	0	0
1001	2	4	16	314	0	1	0
1001	2	4	18	467	0	0	0
1001	2	4	21	988	0	1	0
1001	2	5	9	361	0	0	0
1001	2	5	10	912	1	0	1
1001	2	5	12	155	1	0	0
1001	2	5	12	959	1	1	0
1001	2	5	12	479	1	0	1
1001	2	5	14	938	0	1	0
1001	2	5	18	850	1	0	1
1001	2	5	19	258	1	0	1
1001	2	5	20	430	0	0	0
1001	2	5	22	311	0	1	0
1001	2	5	51	608	1	1	0
1001	2	5	54	10	0	1	0
1001	2	6	26	810	0	0	0
1001	2	6	28	140	0	1	0
1001	2	6	36	155	0	0	0
1001	2	6	36	780	0	1	0
1001	2	6	46	854	0	0	0
1001	2	6	47	302	0	1	0
1001	2	6	53	301	1	1	0
1001	2	6	53	678	1	0	1
1001	2	6	54	981	0	0	0
1001	2	6	58	473	0	1	0
1001	2	7	8	122	1	0	0
1001	2	7	8	420	1	0	1
1001	2	7	10	363	1	0	0
1001	2	7	11	811	0	0	0
1001	2	7	13	15	0	0	0
