========================================
 Exported from Brekel Pro Face 2 v2.23
========================================
File format version:		1.0
Machinename:				ssc-6430b
Licensed to:				 Erin Heerey
Export date/time:			04/05/2017 14:58:29
Number of frames:			9330

==========
 Face: 1
==========
timestamp	isTracked	bodyId	neckPosX	neckPosY	neckPosZ	neckRotX	neckRotY	neckRotZ	headPosX	headPosY	headPosZ	headRotX	headRotY	headRotZ	Brow_Up_L	Brow_Up_R	Brow_Down_L	Brow_Down_R	Eye_Closed_L	Eye_Closed_R	Cheek_Puffed_L	Cheek_Puffed_R	Lips_Pucker	Lips_Stretch_L	Lips_Stretch_R	Lip_Lower_Down_L	Lip_Lower_Down_R	Smile_L	Smile_R	Frown_L	Frown_R	Jaw_L	Jaw_R	Jaw_Open
0.00000	1	3	2.96217	-0.93731	-84.16800	-13.86214	-1.99287	-0.15592	0.51090	7.94019	1.25797	3.57977	14.26136	-13.84729	8.22663	20.17716	-0.00027	-0.00022	8.27746	9.21536	32.61860	33.58130	34.78238	7.15919	3.28931	0.57279	0.90598	1.95246	1.94730	2.70802	1.81084	6.27601	0.06164	0.80693	
0.03333	1	3	2.96217	-0.93731	-84.16800	-13.86078	-1.99286	-0.15588	0.51531	7.93935	1.25728	3.54377	14.25382	-13.85227	8.35385	20.18651	-0.00027	-0.00022	11.36788	12.03817	32.61530	33.61506	34.59650	7.43672	3.40229	0.60059	0.92251	1.97790	1.93176	2.69790	1.82679	6.50859	0.05971	0.75212	
0.06667	1	3	2.96217	-0.93731	-84.16800	-13.85323	-1.99280	-0.15560	0.53749	7.93459	1.25213	3.35145	14.23060	-13.89648	9.04313	19.91624	-0.00027	-0.00022	32.16373	33.10725	32.46333	33.49512	33.12811	7.92018	3.77681	0.75271	1.02748	2.13073	2.04684	2.61365	1.88521	7.58894	0.04933	0.51455	
0.10000	1	3	2.96217	-0.93731	-84.16800	-13.84564	-1.99273	-0.15517	0.54962	7.92962	1.23927	3.20705	14.29588	-14.01318	9.78646	18.57273	-0.00027	-0.00022	63.49361	71.23943	31.49790	32.09921	29.98785	4.26538	2.83480	0.89820	1.18921	2.31114	2.98128	2.41384	1.81095	7.52707	0.04083	0.50584	
0.13333	1	3	2.96217	-0.93731	-84.16800	-13.83829	-1.99267	-0.15370	0.56631	7.92341	1.21926	3.09995	14.36595	-14.11395	11.71296	19.49419	-0.00027	-0.00022	66.23530	73.12228	29.67678	31.07515	28.30877	4.28566	1.68735	1.16855	1.43067	2.41232	3.49549	2.31028	1.78339	6.83134	0.03379	0.28305	
0.16667	1	3	2.96217	-0.93731	-84.16800	-13.83146	-1.99264	-0.15364	0.58338	7.90862	1.20317	2.93361	14.35992	-14.19008	15.95951	21.91737	-0.00027	-0.00022	59.22204	62.71346	28.27267	29.18744	27.76728	5.48002	2.50988	1.72708	1.91726	2.63861	4.13886	2.35837	1.81264	6.91074	0.02667	0.69018	
0.20000	1	3	2.96217	-0.93731	-84.16800	-13.82543	-1.99263	-0.15865	0.60240	7.89396	1.17761	2.70704	14.23211	-14.29924	18.88291	21.86743	-0.00027	-0.00022	47.22223	49.70889	27.05729	28.43787	31.14668	4.10146	2.89476	1.56582	1.70240	2.82862	4.28670	2.35415	1.77837	7.79674	0.03629	0.77330	
0.23333	1	3	2.96217	-0.93731	-84.16800	-13.82031	-1.99252	-0.16752	0.62609	7.89515	1.14738	2.47559	14.17243	-14.35892	18.32724	21.21050	-0.00027	-0.00022	37.45499	38.87204	25.32012	29.40268	33.45141	5.49291	5.91580	1.44320	1.65841	2.75322	3.76827	2.85860	1.94497	6.02010	0.12165	0.76368	
0.26667	1	3	2.96275	-0.93731	-84.16800	-13.81693	-1.99245	-0.17966	0.64485	7.90424	1.11562	2.28288	14.17354	-14.41641	17.32256	21.18158	-0.00027	-0.00022	27.95063	30.79556	25.84698	30.86233	33.46938	6.25255	2.83578	1.03333	1.21743	2.56226	3.44535	2.63580	1.79640	5.70668	0.09364	0.29817	
0.30000	1	3	2.96658	-0.93731	-84.16800	-13.81604	-1.99255	-0.19159	0.66098	7.91238	1.08814	2.10152	14.17458	-14.46443	16.60292	21.13976	-0.00027	-0.00022	25.23707	28.26835	26.22916	31.85623	33.66415	6.50806	1.96962	0.88551	1.07836	2.42099	3.23408	2.50869	1.70746	5.43318	0.07746	0.13327	
