========================================
 Exported from Brekel Pro Face 2 v2.23
========================================
File format version:		1.0
Machinename:				ssc-6430c
Licensed to:				 Erin Heerey
Export date/time:			04/05/2017 14:58:29
Number of frames:			10595

==========
 Face: 1
==========
timestamp	isTracked	bodyId	neckPosX	neckPosY	neckPosZ	neckRotX	neckRotY	neckRotZ	headPosX	headPosY	headPosZ	headRotX	headRotY	headRotZ	Brow_Up_L	Brow_Up_R	Brow_Down_L	Brow_Down_R	Eye_Closed_L	Eye_Closed_R	Cheek_Puffed_L	Cheek_Puffed_R	Lips_Pucker	Lips_Stretch_L	Lips_Stretch_R	Lip_Lower_Down_L	Lip_Lower_Down_R	Smile_L	Smile_R	Frown_L	Frown_R	Jaw_L	Jaw_R	Jaw_Open
0.00000	1	3	-12.83218	0.39345	-75.82851	10.80949	12.90071	-11.03755	0.04903	12.05913	1.01056	-11.47730	-1.41232	9.10663	17.37505	27.75038	0.00000	0.00000	15.66735	20.06152	0.77601	0.92945	75.26873	9.77613	3.49576	1.85459	2.74396	2.52929	2.09121	5.92467	7.57224	0.31103	1.79438	0.11184	
0.03333	1	3	-12.83218	0.39345	-75.82851	10.80949	12.90071	-11.03755	0.04903	12.05913	1.01056	-11.47730	-1.41232	9.10663	17.37505	27.75038	0.00000	0.00000	15.66735	20.06152	0.77601	0.92945	75.26873	9.77613	3.49576	1.85459	2.74396	2.52929	2.09121	5.92467	7.57224	0.31103	1.79438	0.11184	
0.06667	1	3	-12.83218	0.39345	-75.82851	10.80949	12.90071	-11.03755	0.04903	12.05913	1.01056	-11.47730	-1.41232	9.10663	17.37505	27.75038	0.00000	0.00000	15.66735	20.06152	0.77601	0.92945	75.26873	9.77613	3.49576	1.85459	2.74396	2.52929	2.09121	5.92467	7.57224	0.31103	1.79438	0.11184	
0.10000	1	3	-12.83218	0.39345	-75.82851	10.80949	12.90071	-11.03755	0.04903	12.05913	1.01056	-11.47730	-1.41232	9.10663	17.37505	27.75038	0.00000	0.00000	15.66735	20.06152	0.77601	0.92945	75.26873	9.77613	3.49576	1.85459	2.74396	2.52929	2.09121	5.92467	7.57224	0.31103	1.79438	0.11184	
0.13333	1	3	-12.83218	0.39345	-75.82851	10.80949	12.90071	-11.03755	0.04903	12.05913	1.01056	-11.47730	-1.41232	9.10663	17.37505	27.75038	0.00000	0.00000	15.66735	20.06152	0.77601	0.92945	75.26873	9.77613	3.49576	1.85459	2.74396	2.52929	2.09121	5.92467	7.57224	0.31103	1.79438	0.11184	
0.16667	1	3	-12.83218	0.39345	-75.82851	10.80949	12.90071	-11.03755	0.04903	12.05913	1.01056	-11.47730	-1.41232	9.10663	17.37505	27.75038	0.00000	0.00000	15.66735	20.06152	0.77601	0.92945	75.26873	9.77613	3.49576	1.85459	2.74396	2.52929	2.09121	5.92467	7.57224	0.31103	1.79438	0.11184	
0.20000	1	3	-12.83218	0.39345	-75.82851	10.80949	12.90071	-11.03755	0.04903	12.05913	1.01056	-11.47730	-1.41232	9.10663	17.37505	27.75038	0.00000	0.00000	15.66735	20.06152	0.77601	0.92945	75.26873	9.77613	3.49576	1.85459	2.74396	2.52929	2.09121	5.92467	7.57224	0.31103	1.79438	0.11184	
0.23333	1	3	-12.83218	0.39345	-75.82851	10.80949	12.90071	-11.03755	0.04903	12.05913	1.01056	-11.47730	-1.41232	9.10663	17.37505	27.75038	0.00000	0.00000	15.66735	20.06152	0.77601	0.92945	75.26873	9.77613	3.49576	1.85459	2.74396	2.52929	2.09121	5.92467	7.57224	0.31103	1.79438	0.11184	
0.26667	1	3	-12.83218	0.39345	-75.82851	10.80949	12.90071	-11.03755	0.04903	12.05913	1.01056	-11.47730	-1.41232	9.10663	17.37505	27.75038	0.00000	0.00000	15.66735	20.06152	0.77601	0.92945	75.26873	9.77613	3.49576	1.85459	2.74396	2.52929	2.09121	5.92467	7.57224	0.31103	1.79438	0.11184	
0.30000	1	3	-12.83218	0.39345	-75.82851	10.80949	12.90071	-11.03755	0.04903	12.05913	1.01056	-11.47730	-1.41232	9.10663	17.37505	27.75038	0.00000	0.00000	15.66735	20.06152	0.77601	0.92945	75.26873	9.77613	3.49576	1.85459	2.74396	2.52929	2.09121	5.92467	7.57224	0.31103	1.79438	0.11184	
